type,title,country,release_year,duration,listed_in,description,id,popularity,vote_count,vote_average
Movie,Head Count,United States,2018,90 min,"Horror Movies, Independent Movies",A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.,tt7350614,6.472,40,5.6
Movie,"Hello, Privilege. It's Me, Chelsea",United States,2019,65 min,Documentaries,"In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career.",tt10847138,8.703,29,4.9
Movie,Tall Girl,United States,2019,103 min,"Children & Family Movies, Comedies, Romantic Movies","After years of slouching through life, 6-foot-1 teen Jodi resolves to conquer her insecurities and gets caught up in a high school love triangle.",tt9252508,48.626,1186,6.4
Movie,Time Trap,United States,2018,88 min,"Action & Adventure, Sci-Fi & Fantasy","While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface.",tt4815122,37.166,416,6.0
Movie,Reversing Roe,United States,2018,100 min,Documentaries,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.",tt8948614,6.285,14,7.4
Movie,Ghost of the Mountains,United States,2017,78 min,Documentaries,An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.,tt7332500,2.15,3,7.3
Movie,Extremis,United States,2016,25 min,Documentaries,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.",tt5538078,9.305,55,7.2
Movie,Turbo,United States,2013,96 min,"Children & Family Movies, Comedies",A speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.,tt1860353,26.311,2240,6.1
Movie,Heroin(e),United States,2017,40 min,Documentaries,"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic.",tt7389366,9.32,69,7.2
Movie,Jeff Dunham: Relative Disaster,United States,2017,71 min,Stand-Up Comedy,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.,tt7364706,7.065,27,6.7
Movie,Eat Pray Love,United States,2010,140 min,"Dramas, Romantic Movies","After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",tt0879870,22.887,1643,6.2
Movie,"My Teacher, My Obsession",United States,2018,86 min,Thrillers,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.",tt6997574,15.923,60,4.9
Movie,68 Kill,United States,2017,96 min,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,tt5189894,13.561,85,5.6
Movie,Dante's Peak,United States,1997,108 min,Action & Adventure,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.",tt0118928,27.936,1091,6.0
Movie,For the Birds,United States,2018,93 min,Documentaries,"A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family.",tt0248808,16.064,769,7.5
Movie,Mr. Woodcock,United States,2007,88 min,Comedies,"When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance.",tt0419984,15.044,279,4.9
Movie,My Sister's Keeper,United States,2009,109 min,Dramas,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,tt1078588,19.606,1444,7.3
Movie,Open Season,United States,2006,86 min,"Children & Family Movies, Comedies","After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world.",tt0400717,21.841,1822,6.1
